date,Fund_01,Fund_02,Fund_03,Fund_04,Fund_05,Fund_06,Fund_07,Fund_08,Fund_09,Fund_10
2021-05-31,-0.014614703277236463,-0.0017538731365098759,0.009943181818181657,0.06499678574708434,-0.012658227848101222,0.021347565043362104,0.004701141705842904,0.007276507276507305,0.002513826043237799,0.0026203161848195045
2021-06-30,0.0970786516853932,0.03631039531478786,0.024378809188935868,0.026559165283376762,-0.0080971659919028,0.020248203788373775,0.012366310160427663,0.0047987616099072206,0.0010030090270811698,0.0026134680721319192
2021-07-31,0.008193363375665674,0.009324667985306512,0.01876430205949653,0.022785022785022813,0.008163265306122547,-0.006402048655569814,-0.012875536480686733,-0.014327530426744728,0.0015030060120240218,0.0015639933964723962
2021-08-31,0.04307192198293386,0.013717805151175932,0.017070979335130243,0.0878777923784495,-0.03508771929824561,0.013530927835051498,0.017056856187291025,0.025633010315723626,0.0015007503751873763,0.0047714062635551
2021-09-30,-0.04869497467861317,-0.018779342723004633,-0.044169611307420475,0.0056998339121243635,-0.0006993006993005757,0.04195804195804209,-0.023676422229529703,-0.023925632429137367,-0.0014985014985012812,-0.0018131583491625136
2021-10-31,0.09787059787059782,0.025330706445257478,0.020794824399260614,-0.03239124723191833,0.02099370188943328,-0.031726662599145805,-0.006399461098012815,-0.002654176424668142,-0.0030015007503751967,-0.0032869128968080474
2021-11-30,-0.008205893323386726,-0.0005489980785068349,-0.023992756903576384,-0.004480217222653127,-0.04112405757368065,-0.02016383112791431,0.026440677966101722,-0.01424546023794615,0.0,-0.0010413954699297623
2021-12-31,-0.029334336216622847,0.00714089535841822,0.0626159554730985,0.01061777942293829,0.018584703359542543,0.0,0.01684280052840159,-0.007252130644222143,-0.0005017561465128217,0.0015637216575450363
2022-01-31,-0.13250678031770624,-0.09326424870466321,-0.08206023570493226,-0.032077726799552786,0.01754385964912264,-0.02057877813504827,-0.11237414745047092,-0.028100671856670534,-0.004518072289156572,-0.005811432040940145
2022-02-28,-0.04868244752121487,-0.01834586466165411,-0.006181645268663938,-0.05349531965743881,0.0027586206896552667,-0.0026263952724885353,-0.0058543724844491996,-0.023371920776869448,-0.004034291477559293,-0.007415808759378972
2022-03-31,0.00375586854460086,0.037683823529411686,0.060287081339712945,0.016223381870213105,0.044016506189821225,-0.0006583278472678256,0.0014722119985277615,-0.03039155103645863,-0.010126582278481067,-0.00958073305792384
2022-04-30,-0.1646398503274088,-0.06082078535577207,-0.03429602888086647,-0.02424681644062543,0.005928853754940677,-0.07444005270092224,-0.08342521131936786,-0.03400926998841247,-0.003069053708439906,-0.0031948881789137795
2022-05-31,-0.05655095184770431,-0.05438541339201508,-0.01635514018691575,-0.0417197181903064,-0.025540275049115824,0.02348754448398571,-0.010425020048115519,-0.011875487314820354,0.0035915854284247484,-0.000623219373219297
2022-06-30,-0.09732937685459941,-0.07845744680851063,-0.02232779097387183,-0.06180521723725574,-0.04973118279569899,-0.05910987482614738,-0.08265802269043754,-0.028588770864946822,-0.0035787321063394106,-0.008552338530066872
2022-07-31,0.14069690992767914,0.07647907647907659,0.02478134110787189,0.07793801779687026,0.01980198019801982,0.026607538802660757,0.041961130742049546,0.002374406398400364,0.0020523345305285545,-0.009344954623056845
2022-08-31,-0.05302593659942367,-0.01642091152815006,-0.044570886676149946,0.027239484113950274,0.014563106796116498,-0.008639308855291628,0.010173802458668835,-6.233636703656398e-05,-0.0020481310803891484,0.0069841269841270925
